date,scientist,rep,primary,secondary,secondary_dose,condition,vial,day,hour,status,alive3,opposite
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,18,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,18,1.833333,44,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.01,6,18,1.833333,44,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,19,1.083333,26,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,19,1.333333,32,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,19,1.416667,34,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,19,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,19,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,19,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,19,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,19,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,19,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,19,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,20,1.083333,26,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,20,1.333333,32,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,20,1.416667,34,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,20,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,20,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,20,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,20,1.75,42,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,20,1.75,42,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,20,1.75,42,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,20,1.75,42,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,21,1.333333,32,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,21,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,21,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,21,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,21,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,21,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,21,1.75,42,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,21,1.75,42,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,0.1,7,21,1.75,42,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,1,8,22,0.75,18,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,1,8,22,0.916667,22,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,1,8,22,1,24,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,1,8,22,1,24,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,1,8,22,1.166667,28,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,1,8,22,1.166667,28,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,1,8,22,1.25,30,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,1,8,22,1.25,30,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,1,8,22,1.333333,32,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,1,8,22,1.666667,40,1,FALSE,TRUE
10/1/2020,Abby,Fall 2020 exp 2,S.m,P.snee,1,8,23,0.75,18,1,FALSE,TRUE
